country,income_1980,income_1990,income_2000,income_2008,income_2010,income_2015,income_2020,hdi_1990,hdi_2000,hdi_2010,hdi_2015,gini_1980,gini_1990,gini_2000,gini_2010,gini_2020,life_exp_1980,life_exp_1990,life_exp_2000,life_exp_2008,bmi_1980,bmi_1990,bmi_2000,bmi_2008,co2_1980,co2_1990,co2_2000,co2_2008
Afghanistan,2020.0,1860.0,687.0,1270.0,1670.0,1770.0,1800.0,0.295,0.34,0.45399999999999996,0.479,32.2,36.4,36.8,36.8,36.8,44.1,52.6,54.6,58.8,20.95,21.0,20.65,20.85,0.132,0.21100000000000002,0.0372,0.152
Albania,4190.0,4460.0,5440.0,9160.0,9930.0,11000.0,13200.0,0.635,0.662,0.738,0.764,26.9,27.0,30.2,29.5,29.0,71.7,73.3,74.9,77.0,25.2,25.200000000000003,25.35,26.049999999999997,1.93,1.68,0.966,1.46
Algeria,11200.0,10300.0,10300.0,12700.0,12900.0,13800.0,14000.0,0.5770000000000001,0.644,0.7240000000000001,0.745,40.1,38.8,33.1,28.5,27.6,62.8,71.7,74.0,75.9,23.0,23.9,24.65,25.5,3.46,2.99,2.83,3.17
Argentina,14500.0,11400.0,15000.0,18600.0,18900.0,19200.0,17100.0,0.705,0.7709999999999999,0.816,0.8270000000000001,40.4,46.1,51.7,43.0,42.4,70.1,72.4,74.2,75.5,24.6,25.4,26.7,27.5,3.9,3.44,3.85,4.72
Armenia,4020.0,3740.0,2930.0,7560.0,6700.0,8170.0,10200.0,0.634,0.644,0.7290000000000001,0.743,41.4,41.9,36.2,29.2,32.6,69.4,70.1,72.3,73.8,24.8,25.2,25.15,26.25,1.96,1.87,1.13,1.91
Australia,24800.0,28700.0,35400.0,41400.0,41500.0,44100.0,45800.0,0.866,0.899,0.927,0.9390000000000001,32.2,33.0,33.3,33.6,32.3,74.4,76.9,79.5,81.5,24.25,25.35,26.35,27.25,15.1,15.5,17.3,18.1
Austria,25000.0,31300.0,38800.0,44400.0,43300.0,44300.0,47300.0,0.794,0.8370000000000001,0.88,0.893,24.7,28.5,28.6,30.7,30.5,72.8,75.8,78.3,80.4,24.35,24.8,25.35,25.8,6.87,7.47,7.72,8.28
Bahrain,37800.0,35100.0,44900.0,42200.0,40600.0,43900.0,42000.0,0.745,0.794,0.812,0.8240000000000001,40.0,40.0,40.0,40.0,40.0,71.1,70.5,72.6,77.1,24.6,25.700000000000003,27.15,28.3,21.9,25.1,28.1,26.7
Bangladesh,1150.0,1330.0,1690.0,2320.0,2520.0,3230.0,4400.0,0.386,0.46799999999999997,0.545,0.579,25.3,28.2,33.3,32.3,32.4,54.0,58.3,65.5,68.5,19.5,19.5,19.8,20.5,0.0959,0.151,0.218,0.34299999999999997
Barbados,12200.0,14100.0,15400.0,17000.0,16300.0,16400.0,16700.0,0.7140000000000001,0.75,0.78,0.795,48.1,46.7,45.2,43.9,43.8,72.9,73.8,74.8,76.3,25.5,26.25,27.0,27.799999999999997,2.67,4.12,4.38,5.79
Belgium,25100.0,30600.0,37200.0,41600.0,41100.0,41800.0,43900.0,0.805,0.873,0.884,0.8959999999999999,21.2,23.2,27.8,28.2,27.7,73.3,76.0,77.8,79.6,25.05,25.25,25.65,25.950000000000003,13.7,10.6,11.2,9.69
Belize,4110.0,5120.0,6950.0,7930.0,7850.0,7980.0,7780.0,0.648,0.677,0.7,0.706,60.3,60.3,53.6,53.3,53.3,69.6,72.0,70.3,73.5,25.15,26.1,27.3,28.4,1.32,1.66,1.6,1.42
Benin,1370.0,1460.0,1670.0,1840.0,1820.0,1990.0,2310.0,0.345,0.395,0.45399999999999996,0.485,42.6,41.0,39.1,42.4,47.8,51.3,55.2,57.5,60.5,20.85,21.549999999999997,22.35,23.049999999999997,0.139,0.142,0.233,0.507
Bolivia,4330.0,3700.0,4370.0,5130.0,5340.0,6440.0,7320.0,0.535,0.607,0.649,0.674,43.0,42.6,58.9,48.1,44.6,55.9,60.9,66.5,70.1,23.3,23.95,24.9,25.65,0.8370000000000001,0.8390000000000001,1.31,1.36
Botswana,3770.0,8500.0,10700.0,13700.0,13200.0,15700.0,17200.0,0.585,0.56,0.6779999999999999,0.698,54.1,57.5,63.4,60.8,60.5,60.8,63.5,54.0,57.0,21.45,22.299999999999997,23.200000000000003,24.1,1.1,2.1,2.3,2.35
Brazil,10800.0,10300.0,11400.0,13900.0,14600.0,14800.0,14500.0,0.611,0.685,0.7240000000000001,0.754,57.1,59.0,58.8,53.3,51.3,64.9,67.5,71.4,74.0,23.35,24.1,24.95,25.9,1.55,1.4,1.88,2.02
Brunei,149000.0,84700.0,82100.0,81900.0,80600.0,75100.0,75100.0,0.782,0.8190000000000001,0.846,0.865,40.0,40.0,40.0,40.0,40.0,67.0,70.5,73.8,75.0,23.1,23.2,23.45,23.549999999999997,35.5,23.9,14.1,24.0
Bulgaria,10200.0,9300.0,8830.0,15400.0,15300.0,17000.0,20900.0,0.7,0.713,0.775,0.794,22.9,26.3,30.4,34.7,37.4,71.5,71.7,71.6,73.3,25.4,25.75,25.5,26.0,8.73,8.42,5.44,6.74
Burundi,865.0,1030.0,718.0,718.0,734.0,716.0,628.0,0.27,0.268,0.385,0.40399999999999997,34.0,33.2,40.6,36.0,38.6,47.0,48.7,44.9,56.0,20.15,20.700000000000003,21.0,21.4,0.0353,0.0384,0.0425,0.0235
